measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,15-39 years,Total cancers,Percent,1996,0.078937322704166,0.0833076400586122,0.07415338110864253
Deaths,Global,Both,25-49 years,Total cancers,Percent,1996,0.13960458545720209,0.14573541045573135,0.1330236350885592
Deaths,Global,Both,55+ years,Total cancers,Percent,1996,0.17910700792727977,0.18326402156465768,0.17229042425365076
Deaths,Global,Both,60-79 years,Total cancers,Percent,1996,0.20551380944642128,0.2092287747826003,0.20013189084042005
Deaths,Global,Both,65-74 years,Total cancers,Percent,1996,0.21274121638122384,0.21655749184032244,0.20754957046281425
Deaths,Global,Both,75-84 years,Total cancers,Percent,1996,0.1499237717844544,0.15434890722163724,0.14142064222866438
Deaths,Global,Both,20-54 years,Total cancers,Percent,1996,0.14951117305784511,0.1552427410547756,0.14351095476529294
Deaths,Global,Both,55-89 years,Total cancers,Percent,1996,0.18618149702548692,0.19019392822665143,0.17982025557458609
Deaths,Global,Both,60-89 years,Total cancers,Percent,1996,0.17999363408468838,0.18411705145608467,0.17329141973502848
Deaths,Global,Both,65-89 years,Total cancers,Percent,1996,0.17077596134165457,0.17493763627334674,0.16339824036053346
Deaths,Global,Both,70-89 years,Total cancers,Percent,1996,0.1565745676094558,0.16095289337145688,0.14826567497754436
Deaths,Global,Both,75-94 years,Total cancers,Percent,1996,0.1328691727092542,0.13786090631361436,0.12286058927365939
Deaths,Global,Both,1-4 years,Total cancers,Percent,2017,0.022403079459884692,0.026418061789086393,0.01845564529234759
Deaths,Global,Both,5-9 years,Total cancers,Percent,2017,0.07023733913270065,0.07649087658095455,0.06307112470154394
Deaths,Global,Both,10-14 years,Total cancers,Percent,2017,0.0850505259096332,0.09167477105076924,0.07775214662674754
Deaths,Global,Both,15-19 years,Total cancers,Percent,2017,0.06237896961971206,0.0660969526022597,0.057847037854663774
Deaths,Global,Both,20-24 years,Total cancers,Percent,2017,0.06065648417737862,0.06319984425092777,0.05724681335681097
Deaths,Global,Both,25-29 years,Total cancers,Percent,2017,0.07512182648512387,0.07888360260924626,0.07087595648366246
Deaths,Global,Both,30-34 years,Total cancers,Percent,2017,0.09861077878199927,0.10301206327733557,0.09354220251784955
Deaths,Global,Both,35-39 years,Total cancers,Percent,2017,0.12967710916980033,0.13557050722367062,0.12376546096376799
Deaths,Global,Both,40-44 years,Total cancers,Percent,2017,0.1739756923038477,0.17987375285097057,0.1687568306875483
Deaths,Global,Both,45-49 years,Total cancers,Percent,2017,0.21582815334260072,0.22218812149514575,0.20985840989614069
Deaths,Global,Both,50-54 years,Total cancers,Percent,2017,0.25158332635475184,0.25887112344674756,0.24452208384659446
Deaths,Global,Both,55-59 years,Total cancers,Percent,2017,0.26370108476631454,0.2702246380141092,0.25689648769400386
Deaths,Global,Both,60-64 years,Total cancers,Percent,2017,0.27167264043428685,0.2780719023729032,0.26444394197960597
Deaths,Global,Both,65-69 years,Total cancers,Percent,2017,0.2618303362644476,0.2678315659894825,0.25413991871180586
Deaths,Global,Both,70-74 years,Total cancers,Percent,2017,0.2342520330818776,0.24042128722284153,0.22550298628745494
Deaths,Global,Both,75-79 years,Total cancers,Percent,2017,0.20035075918854633,0.20619449964778558,0.18957827870605268
Deaths,Global,Both,5-14 years,Total cancers,Percent,2017,0.07668566891076774,0.0830315962232227,0.06966631352246157
Deaths,Global,Both,15-49 years,Total cancers,Percent,2017,0.13885927685173022,0.14328807865853843,0.1342539801895808
Deaths,Global,Both,50-69 years,Total cancers,Percent,2017,0.26321909791506437,0.26921321530932146,0.256417869825846
Deaths,Global,Both,80-84,Total cancers,Percent,2017,0.1586199884686074,0.16653006308492316,0.1430936435608141
Deaths,Global,Both,85-89,Total cancers,Percent,2017,0.13269938824300478,0.14238914601643277,0.11348291256470809
Deaths,Global,Both,90-94,Total cancers,Percent,2017,0.1046974269822742,0.11561459704214419,0.08379033703441265
Deaths,Global,Both,50-74 years,Total cancers,Percent,2017,0.2555255614538656,0.26141126441640106,0.2485969294356954
Deaths,Global,Both,10-24 years,Total cancers,Percent,2017,0.06617087558751958,0.06953692065002201,0.06203185763032604
Deaths,Global,Both,10-19 years,Total cancers,Percent,2017,0.07092216461032118,0.07549398760153846,0.06579876809466419
Deaths,Global,Both,10 to 54 years,Total cancers,Percent,2017,0.16481309872598346,0.16980936275842862,0.15990531586222376
Deaths,Global,Both,5-19 years,Total cancers,Percent,2017,0.07069434755081111,0.07528323921847876,0.0651650384136792
Deaths,Global,Both,15-39 years,Total cancers,Percent,2017,0.09178107650609459,0.09537767950823399,0.08754828770119952
Deaths,Global,Both,25-49 years,Total cancers,Percent,2017,0.15393281488516017,0.15875341671638804,0.148901825332029
